"Date","Circulating Marketcap"
"2022-02-11","68520310465.786606"
"2022-02-10","69892106381.87401"
"2022-02-09","67426972517.036064"
"2022-02-08","71602107290.98134"
"2022-02-07","69395656949.07411"
"2022-02-06","68473600742.807846"
"2022-02-05","65952980809.83798"
"2022-02-04","61393170833.7664"
"2022-02-03","60675436382.03956"
"2022-02-02","63554847734.270584"
"2022-02-01","61852512353.54712"
"2022-01-31","62300229989.818634"
"2022-01-30","64324607186.837906"
"2022-01-29","63775702160.6246"
"2022-01-28","64388777868.997505"
"2022-01-27","61977089513.22905"
"2022-01-26","63603761421.5531"
"2022-01-25","61321268552.058014"
"2022-01-24","63447550817.84565"
"2022-01-23","59172683310.94135"
"2022-01-22","63479574163.86277"
"2022-01-21","72653729408.37169"
"2022-01-20","76360520868.19342"
"2022-01-19","77876664472.05704"
"2022-01-18","79280267870.9457"
"2022-01-17","83198134379.54262"
"2022-01-16","82524532973.50626"
"2022-01-15","81754227915.41154"
"2022-01-14","79239635261.47209"
"2022-01-13","81367571720.11841"
"2022-01-12","77364143355.07971"
"2022-01-11","70871291395.18129"
"2022-01-10","73191738797.47826"
"2022-01-09","71706868076.36145"
"2022-01-08","74729531619.33003"
"2022-01-07","78847839595.35538"
"2022-01-06","79045246609.83755"
"2022-01-05","84550136771.71625"
"2022-01-04","85398528790.26219"
"2022-01-03","88596853203.68365"
"2022-01-02","87985120310.16803"
"2022-01-01","85298748235.62517"
"2021-12-31","86501814533.0694"
"2021-12-30","85808947978.21028"
"2021-12-29","89126031161.73064"
"2021-12-28","93995534398.16507"
"2021-12-27","91245139125.95801"
"2021-12-26","91361563512.57764"
"2021-12-25","90432122428.30962"
"2021-12-24","91580962151.90083"
"2021-12-23","89000935898.44585"
"2021-12-22","88179698709.74934"
"2021-12-21","87380012442.93315"
"2021-12-20","88400536101.91568"
"2021-12-19","89096491396.27345"
"2021-12-18","87690910216.36627"
"2021-12-17","87772009045.11314"
"2021-12-16","90281941189.49234"
"2021-12-15","88175795751.63487"
"2021-12-14","86958018046.29659"
"2021-12-13","95236183991.7657"
"2021-12-12","94143523008.83556"
"2021-12-11","92184657505.50308"
"2021-12-10","95393953082.88493"
"2021-12-09","101365251046.46927"
"2021-12-08","96608747098.53291"
"2021-12-07","98248336378.6855"
"2021-12-06","93145375225.56088"
"2021-12-05","95004032349.43039"
"2021-12-04","99171102181.76779"
"2021-12-03","103467293015.49074"
"2021-12-02","104734730502.24568"
"2021-12-01","103935120634.18169"
"2021-11-30","104129050950.21855"
"2021-11-29","102048732019.67276"
"2021-11-28","100116384077.60483"
"2021-11-27","97710204702.4313"
"2021-11-26","106568978052.54213"
"2021-11-25","98536977656.50859"
"2021-11-24","98640259421.94067"
"2021-11-23","93328347203.0508"
"2021-11-22","97665030850.28748"
"2021-11-21","100883362929.92738"
