"Date","Circulating Marketcap"
"2022-02-11","367539443582.42255"
"2022-02-10","388033145289.0788"
"2022-02-09","372688780892.31"
"2022-02-08","375430903595.09485"
"2022-02-07","365546440471.62885"
"2022-02-06","360719320972.3317"
"2022-02-05","357502970810.34155"
"2022-02-04","321663922073.5722"
"2022-02-03","320366782667.3101"
"2022-02-02","333193228876.9853"
"2022-02-01","321158566462.4186"
"2022-01-31","310640259821.60675"
"2022-01-30","310734971352.35004"
"2022-01-29","304006255552.549"
"2022-01-28","288593610907.35876"
"2022-01-27","293975396382.7672"
"2022-01-26","290476871879.007"
"2022-01-25","291177194942.70233"
"2022-01-24","303178724147.7011"
"2022-01-23","287435073389.45264"
"2022-01-22","306702673508.0312"
"2022-01-21","357999249371.47076"
"2022-01-20","368066459873.76544"
"2022-01-19","377113364915.9886"
"2022-01-18","382841376318.40094"
"2022-01-17","399138608960.1234"
"2022-01-16","396670079170.146"
"2022-01-15","394377581998.36633"
"2022-01-14","386012630093.71216"
"2022-01-13","401697425105.39294"
"2022-01-12","386075156708.44415"
"2022-01-11","367383961790.6247"
"2022-01-10","375279465345.2874"
"2022-01-09","367077898113.6232"
"2022-01-08","380544153576.4657"
"2022-01-07","405827457689.0133"
"2022-01-06","421297638925.84436"
"2022-01-05","451050904184.49927"
"2022-01-04","448010838408.9695"
"2022-01-03","455948755629.0998"
"2022-01-02","448102628686.64496"
"2022-01-01","437305854697.3855"
"2021-12-31","441480801130.356"
"2021-12-30","431568941940.0359"
"2021-12-29","451446138822.9971"
"2021-12-28","480317633632.38245"
"2021-12-27","483483806539.60266"
"2021-12-26","486853199850.3276"
"2021-12-25","480761757677.01984"
"2021-12-24","488346024759.44006"
"2021-12-23","473106028677.3515"
"2021-12-22","477523111380.60126"
"2021-12-21","467932033999.68066"
"2021-12-20","466174057752.5324"
"2021-12-19","470672900385.18756"
"2021-12-18","460434668062.2138"
"2021-12-17","470315746323.245"
"2021-12-16","477318025276.9157"
"2021-12-15","458690286115.0287"
"2021-12-14","449287894814.962"
"2021-12-13","490843211886.59375"
"2021-12-12","484824048501.4042"
"2021-12-11","462998556451.0184"
"2021-12-10","488816691286.4753"
"2021-12-09","527021342740.6608"
"2021-12-08","511408613584.35815"
"2021-12-07","517116542368.7027"
"2021-12-06","498097842302.922"
"2021-12-05","489003968143.14624"
"2021-12-04","500320917953.5341"
"2021-12-03","535511445701.3553"
"2021-12-02","543931062374.2449"
"2021-12-01","549353501851.6527"
"2021-11-30","527236119761.40393"
"2021-11-29","509123859155.2628"
"2021-11-28","485496285704.226"
"2021-11-27","478594243414.85187"
"2021-11-26","535913601678.56335"
"2021-11-25","506400444256.18567"
"2021-11-24","514283298475.4"
"2021-11-23","484294287162.628"
"2021-11-22","505935923863.19806"
"2021-11-21","522664770644.596"
"2021-11-20","509080480461.45636"
"2021-11-19","473922343001.032"
"2021-11-18","507678635563.5067"
"2021-11-17","498668597849.67017"
"2021-11-16","540016371488.61"
"2021-11-15","547675841757.72455"
"2021-11-14","549906063983.0881"
"2021-11-13","552663189717.6073"
"2021-11-12","559020819960.6833"
"2021-11-11","548413830203.6541"
"2021-11-10","559859517331.7867"
"2021-11-09","569016005156.1655"
"2021-11-08","542212870785.9796"
"2021-11-07","530568321506.4635"
"2021-11-06","525752344598.19446"
"2021-11-05","532329193822.8109"
"2021-11-04","540294424750.6744"
"2021-11-03","538009686070.51245"
"2021-11-02","507368380502.5317"
"2021-11-01","502995730172.30963"
"2021-10-31","507287473001.00726"
"2021-10-30","518078902823.7513"
"2021-10-29","502632787807.1297"
"2021-10-28","460026244120.289"
"2021-10-27","484158212951.0195"
"2021-10-26","494718266285.09766"
"2021-10-25","477888512435.14856"
"2021-10-24","488354110915.82874"
"2021-10-23","465218181063.52094"
"2021-10-22","474867816352.42444"
"2021-10-21","483718618167.796"
"2021-10-20","454236675638.9617"
"2021-10-19","438776111309.96356"
"2021-10-18","450401896328.9732"
"2021-10-17","448217515776.9855"
"2021-10-16","452408222809.0645"
"2021-10-15","442156190473.3845"
"2021-10-14","422106315951.64606"
"2021-10-13","408617957532.7491"
"2021-10-12","414695121376.33344"
"2021-10-11","399809827901.84045"
"2021-10-10","418198222093.28876"
"2021-10-09","416911119537.30023"
"2021-10-08","421109851088.30804"
"2021-10-07","418150166569.9492"
"2021-10-06","411217322775.53265"
"2021-10-05","395893803307.32275"
"2021-10-04","399650336019.4305"
"2021-10-03","399118898865.88385"
"2021-10-02","385570845377.73346"
"2021-10-01","350971645294.9168"
"2021-09-30","333190201118.6682"
"2021-09-29","333992941871.0951"
"2021-09-28","349884389165.2397"
"2021-09-27","357459277718.46533"
"2021-09-26","342114816042.4902"
"2021-09-25","342343384712.3155"
"2021-09-24","368464565150.14246"
"2021-09-23","358093734654.7974"
"2021-09-22","322884049340.577"
"2021-09-21","349697571767.67554"
"2021-09-20","388365310440.6837"
"2021-09-19","399090923903.346"
"2021-09-18","396331640925.2679"
"2021-09-17","416578581696.2263"
"2021-09-16","421665338529.34"
"2021-09-15","397659153368.85065"
"2021-09-14","383075654373.3715"
"2021-09-13","397561367727.6551"
"2021-09-12","380906724428.81476"
"2021-09-11","374021817211.08167"
"2021-09-10","399557147461.7259"
"2021-09-09","409650417248.0358"
"2021-09-08","400059033387.40594"
"2021-09-07","458090426605.1353"
"2021-09-06","460612535135.358"
"2021-09-05","453005882872.49664"
"2021-09-04","458920043189.8627"
"2021-09-03","441217028546.2928"
"2021-09-02","441885392626.9096"
"2021-09-01","397996030792.77313"
"2021-08-31","381012580964.4737"
"2021-08-30","375530820667.09644"
"2021-08-29","377638413915.4554"
"2021-08-28","380808961616.9013"
"2021-08-27","363895221808.47906"
"2021-08-26","375521958152.10187"
"2021-08-25","369022038969.5223"
"2021-08-24","386088969291.2364"
"2021-08-23","376998748482.37683"
"2021-08-22","375146218024.1331"
"2021-08-21","382157225268.86774"
"2021-08-20","370287869824.94403"
"2021-08-19","350622163172.9646"
"2021-08-18","350375491562.28705"
"2021-08-17","366690988146.43274"
"2021-08-16","384743071472.07654"
"2021-08-15","379370251084.7361"
"2021-08-14","386202280949.7144"
"2021-08-13","353403554696.1426"
"2021-08-12","367648993482.3136"
"2021-08-11","364988004177.4406"
"2021-08-10","367490107080.31744"
"2021-08-09","350219918154.65546"
"2021-08-08","366642825675.6978"
"2021-08-07","335679858910.10284"
"2021-08-06","328383561885.5628"
"2021-08-05","316241280987.26"
"2021-08-04","290463687937.223"
"2021-08-03","302797249835.6042"
"2021-08-02","297326410133.74396"
"2021-08-01","294311089571.16864"
"2021-07-31","286321880194.5697"
"2021-07-30","276186225765.38104"
"2021-07-29","266669263452.18372"
"2021-07-28","266805993870.84094"
"2021-07-27","258697834339.72537"
"2021-07-26","254131149635.2539"
"2021-07-25","253606947337.86255"
"2021-07-24","246366369856.03156"
"2021-07-23","234675560263.96228"
"2021-07-22","230672668576.85733"
"2021-07-21","207041808886.94843"
"2021-07-20","210681350373.35632"
"2021-07-19","219146580214.15256"
"2021-07-18","220010402604.05725"
"2021-07-17","217400958807.88446"
"2021-07-16","222220967338.8453"
"2021-07-15","230883693959.54474"
"2021-07-14","224641637578.4425"
"2021-07-13","235114465592.36322"
"2021-07-12","247641815759.36987"
"2021-07-11","244300956465.5595"
"2021-07-10","248366703982.6292"
"2021-07-09","244814964830.3323"
"2021-07-08","268057286475.57434"
"2021-07-07","268758091183.298"
"2021-07-06","254084203748.8645"
"2021-07-05","268657153940.1292"
"2021-07-04","257591430240.76834"
"2021-07-03","249281742266.7062"
"2021-07-02","243664237718.62744"
"2021-07-01","263169214244.07913"
"2021-06-30","250293822920.24753"
"2021-06-29","240858983513.7724"
"2021-06-28","228744239353.73154"
"2021-06-27","211444278592.8673"
"2021-06-26","209059659091.3088"
"2021-06-25","229770246558.5369"
"2021-06-24","227351817998.91507"
"2021-06-23","217244681987.88333"
"2021-06-22","218276106537.88354"
"2021-06-21","258983595713.01657"
"2021-06-20","250052463678.35986"
"2021-06-19","257913979519.59796"
"2021-06-18","273926264395.8321"
"2021-06-17","273261109839.18985"
"2021-06-16","293602282902.9175"
"2021-06-15","297956411559.2599"
"2021-06-14","289598019696.9744"
"2021-06-13","273596071359.22116"
"2021-06-12","271415492137.86838"
"2021-06-11","285007292653.89136"
"2021-06-10","300857816490.68164"
"2021-06-09","289305396197.7641"
"2021-06-08","298880299496.02686"
"2021-06-07","312765376509.7104"
"2021-06-06","303024998391.7379"
"2021-06-05","309813832957.61194"
"2021-06-04","329047256597.3997"
"2021-06-03","311726306655.28064"
"2021-06-02","303450557039.8591"
"2021-06-01","312229682879.53143"
"2021-05-31","275250653619.33563"
"2021-05-30","262356427146.02786"
"2021-05-29","278883771167.0097"
"2021-05-28","315270886745.0589"
"2021-05-27","331804596256.0617"
"2021-05-26","311736683179.88214"
"2021-05-25","305119370516.7501"
"2021-05-24","241652523500.56696"
"2021-05-23","264398955638.42035"
"2021-05-22","279938417964.26685"
"2021-05-21","320340988074.1154"
"2021-05-20","282687800713.64905"
"2021-05-19","388774489210.0253"
"2021-05-18","377810549092.56793"
"2021-05-17","412714225624.1545"
"2021-05-16","419159666733.77814"
"2021-05-15","469015904934.7429"
"2021-05-14","427126475463.72565"
"2021-05-13","434408007645.96606"
"2021-05-12","480086319279.39923"
"2021-05-11","453675573038.2228"
"2021-05-10","451254817738.3484"
"2021-05-09","449759603558.48883"
"2021-05-08","400133546975.27075"
"2021-05-07","401026137249.01794"
"2021-05-06","405128329560.95764"
"2021-05-05","372026067413.11633"
"2021-05-04","394072240438.0913"
"2021-05-03","338833876333.48206"
"2021-05-02","338201053407.08704"
"2021-05-01","318520372944.61145"
"2021-04-30","316498271108.1499"
"2021-04-29","315611903950.90283"
"2021-04-28","306052217389.23474"
"2021-04-27","290705291902.49646"
"2021-04-26","266358771554.5415"
"2021-04-25","254198231791.98593"
"2021-04-24","271688226473.66006"
"2021-04-23","275157486902.9564"
"2021-04-22","270356718885.01953"
"2021-04-21","267331721813.019"
"2021-04-20","247948233338.74664"
"2021-04-19","256776617296.96747"
"2021-04-18","265464922444.46884"
"2021-04-17","277911688906.11536"
"2021-04-16","288410315169.37146"
"2021-04-15","278517156912.0623"
"2021-04-14","263457507850.3042"
"2021-04-13","244855353310.2708"
"2021-04-12","246236287422.29593"
"2021-04-11","244286412473.21722"
"2021-04-10","236556407706.42703"
"2021-04-09","238176745313.8418"
"2021-04-08","224771760249.0135"
"2021-04-07","241798921346.42944"
"2021-04-06","241152471399.95633"
"2021-04-05","237561838883.16608"
"2021-04-04","229719508710.34906"
"2021-04-03","244101168037.65555"
"2021-04-02","225133784525.0719"
"2021-04-01","219545006457.58765"
"2021-03-31","210525145649.37073"
"2021-03-30","207631870286.2718"
"2021-03-29","192786728092.88855"
"2021-03-28","195904486774.0756"
"2021-03-27","194246216181.13004"
"2021-03-26","181326813911.83893"
"2021-03-25","180961869564.69098"
"2021-03-24","190584696719.01068"
"2021-03-23","192078405903.5728"
"2021-03-22","203781911927.30246"
"2021-03-21","206160594783.59308"
"2021-03-20","206624701418.0401"
"2021-03-19","202779761316.66617"
"2021-03-18","208160492312.9697"
"2021-03-17","206149429189.3663"
"2021-03-16","204822286967.15662"
"2021-03-15","211288723032.57394"
"2021-03-14","219260891729.939"
"2021-03-13","201638369742.34564"
"2021-03-12","208328505419.10962"
"2021-03-11","205076108430.86807"
"2021-03-10","213238472643.04303"
"2021-03-09","208960175126.47256"
"2021-03-08","196442241241.9463"
"2021-03-07","187984036925.80316"
"2021-03-06","174672368842.88437"
"2021-03-05","175379622665.43686"
"2021-03-04","179063043766.41223"
"2021-03-03","170085597178.831"
"2021-03-02","179061600727.78732"
"2021-03-01","161592812508.14728"
"2021-02-28","166409348565.73975"
"2021-02-27","164365492066.3157"
"2021-02-26","167638884167.8398"
"2021-02-25","185390902756.7769"
"2021-02-24","179589721607.70212"
"2021-02-23","202357879757.84488"
"2021-02-22","220201773420.56824"
"2021-02-21","218029638163.7057"
"2021-02-20","222751516654.50488"
"2021-02-19","220243679062.89282"
"2021-02-18","210633622265.79852"
"2021-02-17","202734430822.03827"
"2021-02-16","202659551002.35257"
"2021-02-15","204981227175.73892"
"2021-02-14","206578365288.51672"
"2021-02-13","209528365866.40012"
"2021-02-12","203150137214.8819"
"2021-02-11","198119746922.18973"
"2021-02-10","201305817709.51648"
"2021-02-09","199211741962.85135"
"2021-02-08","183475636164.80905"
"2021-02-07","190735494700.53693"
"2021-02-06","195396208573.9768"
"2021-02-05","181371516998.4673"
"2021-02-04","189220237063.90076"
"2021-02-03","171937000011.49786"
"2021-02-02","155971161147.22617"
"2021-02-01","149161048959.58093"
"2021-01-31","156317363422.4273"
"2021-01-30","156615750755.1029"
"2021-01-29","151161291126.00592"
"2021-01-28","141695755978.50168"
"2021-01-27","154944868765.69226"
"2021-01-26","149702730088.594"
"2021-01-25","158286105099.28183"
"2021-01-24","139843165614.47772"
"2021-01-23","140237002986.5854"
"2021-01-22","126537620459.23349"
"2021-01-21","156124867302.63403"
"2021-01-20","155585203406.5992"
"2021-01-19","142662284204.22632"
"2021-01-18","139735581400.4418"
"2021-01-17","139179153802.94037"
"2021-01-16","132638259254.18347"
"2021-01-15","138790471447.98895"
"2021-01-14","128231959168.74893"
"2021-01-13","118961245694.69148"
"2021-01-12","123649721252.12155"
"2021-01-11","142285374121.0438"
"2021-01-10","144946415316.0129"
"2021-01-09","137832488571.48578"
"2021-01-08","138757631631.69135"
"2021-01-07","137099003882.3424"
"2021-01-06","124674893991.78004"
"2021-01-05","117839526787.77019"
"2021-01-04","110755671177.25702"
"2021-01-03","87685746213.58131"
"2021-01-02","82621292652.94714"
"2021-01-01","83349640064.48654"
"2020-12-31","85077766600.71118"
"2020-12-30","82652505515.1705"
"2020-12-29","82480974895.99077"
"2020-12-28","77206246474.99101"
"2020-12-27","71898433798.28111"
"2020-12-26","70782429153.71738"
"2020-12-25","69229685329.3507"
"2020-12-24","66043324034.96924"
"2020-12-23","71977204997.10683"
"2020-12-22","68681045319.42514"
"2020-12-21","72067078490.7518"
"2020-12-20","74414762907.6967"
"2020-12-19","73967907272.894"
"2020-12-18","72629367583.58307"
"2020-12-17","71953168719.53944"
"2020-12-16","66461646332.42467"
"2020-12-15","66130310379.00176"
"2020-12-14","66588618215.53911"
"2020-12-13","64039223248.28528"
"2020-12-12","61422991936.89579"
"2020-12-11","62986562574.19158"
"2020-12-10","64637023711.96938"
"2020-12-09","62522460162.0897"
"2020-12-08","66638504450.31619"
"2020-12-07","67964271153.204544"
"2020-12-06","67269246329.68185"
"2020-12-05","63925078756.56943"
"2020-12-04","69429230211.89938"
"2020-12-03","67365439842.895386"
"2020-12-02","65992383975.7867"
"2020-12-01","69336476424.76009"
"2020-11-30","64878804634.009346"
"2020-11-29","60555014082.71997"
"2020-11-28","58428052847.77695"
"2020-11-27","58418908134.89755"
"2020-11-26","64125058181.70306"
"2020-11-25","68064531897.40186"
"2020-11-24","68499618014.39704"
"2020-11-23","63026436968.18786"
"2020-11-22","62182804497.24731"
"2020-11-21","57398803908.77635"
"2020-11-20","52914491635.508896"
"2020-11-19","53831176918.01349"
"2020-11-18","54609587347.7395"
"2020-11-17","51781606116.72868"
"2020-11-16","50354236882.65191"
"2020-11-15","51797264166.75884"
"2020-11-14","53559681372.14492"
"2020-11-13","52018855273.676445"
"2020-11-12","52088889571.49448"
"2020-11-11","50644494907.27145"
"2020-11-10","49913530555.119"
"2020-11-09","51072590994.838974"
"2020-11-08","48940861116.335495"
"2020-11-07","51257757622.53157"
"2020-11-06","46770908956.169075"
"2020-11-05","45133955762.0011"
"2020-11-04","43596066165.17987"
"2020-11-03","43038643581.9177"
"2020-11-02","44467906015.69976"
"2020-11-01","43369088555.70065"
"2020-10-31","42866663640.58245"
"2020-10-30","43438978856.81459"
"2020-10-29","43570293296.94817"
"2020-10-28","45235325267.30327"
"2020-10-27","44116568044.352554"
"2020-10-26","45503017140.318"
"2020-10-25","46239722198.87989"
"2020-10-24","45934025820.832"
"2020-10-23","46450775374.39798"
"2020-10-22","43884041259.558266"
"2020-10-21","41321215999.48655"
"2020-10-20","42491847961.51986"
"2020-10-19","42398363060.19776"
"2020-10-18","41263217893.85834"
"2020-10-17","40935223232.87822"
"2020-10-16","42302722895.36074"
"2020-10-15","42431762214.31573"
"2020-10-14","42689886219.01005"
"2020-10-13","43306628495.71929"
"2020-10-12","41851213663.06706"
"2020-10-11","41536101198.92847"
"2020-10-10","40877804219.045395"
"2020-10-09","39282790032.87438"
"2020-10-08","38245992599.60336"
"2020-10-07","38116516060.50431"
"2020-10-06","39563162844.9388"
"2020-10-05","39413467260.71156"
"2020-10-04","38693519466.843925"
"2020-10-03","38655312229.04683"
"2020-10-02","39423123527.33072"
"2020-10-01","40233908117.65364"
"2020-09-30","40222436952.098755"
"2020-09-29","39520612996.103195"
"2020-09-28","39960219828.6202"
"2020-09-27","39560137578.35025"
"2020-09-26","39323498267.90176"
"2020-09-25","38989177727.561325"
"2020-09-24","35807040525.22697"
"2020-09-23","38441346623.62551"
"2020-09-22","37995846469.74717"
"2020-09-21","41408883705.669655"
"2020-09-20","43010058635.99248"
"2020-09-19","42811242107.11849"
"2020-09-18","43455638852.31854"
"2020-09-17","40731632973.00481"
"2020-09-16","40604203195.69526"
"2020-09-15","42070722303.57424"
"2020-09-14","40868375406.1629"
"2020-09-13","43252004173.248535"
"2020-09-12","41696942993.41528"
"2020-09-11","41021544850.621086"
"2020-09-10","39136870621.93738"
"2020-09-09","37609855959.29979"
"2020-09-08","39418173015.50684"
"2020-09-07","39320701433.29878"
"2020-09-06","37345052044.37948"
"2020-09-05","42991672710.39699"
"2020-09-04","42559608802.1962"
"2020-09-03","49018918097.07965"
"2020-09-02","53011872679.012764"
"2020-09-01","48316889720.50938"
"2020-08-31","47773141345.72156"
"2020-08-30","44375034568.876656"
"2020-08-29","44004531167.70963"
"2020-08-28","42662823428.54479"
"2020-08-27","42953794932.790085"
"2020-08-26","42629508769.87573"
"2020-08-25","45378854429.29982"
"2020-08-24","43479876161.29341"
"2020-08-23","43995603902.22192"
"2020-08-22","43135552173.603355"
"2020-08-21","46264995089.8324"
"2020-08-20","45329447359.09914"
"2020-08-19","46948347275.290115"
"2020-08-18","47954570864.744194"
